date,open,high,low,close,volume
2026-06-25T00:00:00+05:30,3905.0,3933.0,3857.0,3872.1,2834114.0
2026-06-24T00:00:00+05:30,3939.8,3966.5,3876.0,3886.6,2837953.0
2026-06-23T00:00:00+05:30,4051.2,4062.0,3915.0,3941.8,3652187.0
2026-06-22T00:00:00+05:30,4035.0,4055.0,3982.1,4032.7,2487955.0
2026-06-19T00:00:00+05:30,3991.0,4079.0,3975.6,4020.2,2001904.0
2026-06-18T00:00:00+05:30,4000.0,4091.0,3962.6,4014.5,4641806.0
2026-06-17T00:00:00+05:30,4180.0,4219.9,3961.0,3999.2,6984638.0
2026-06-16T00:00:00+05:30,4148.5,4175.0,4086.9,4162.4,2676483.0
2026-06-15T00:00:00+05:30,4149.9,4192.3,4048.0,4126.0,4653050.0
2026-06-12T00:00:00+05:30,3950.0,4055.5,3906.9,4041.1,2887848.0
2026-06-11T00:00:00+05:30,3909.9,3954.1,3865.0,3888.3,2199536.0
2026-06-10T00:00:00+05:30,4012.0,4029.0,3913.1,3929.5,3009982.0
2026-06-09T00:00:00+05:30,3955.8,4032.9,3950.8,3996.3,3318707.0
2026-06-08T00:00:00+05:30,3812.5,3957.0,3784.8,3916.8,3952740.0
2026-06-05T00:00:00+05:30,4053.0,4121.0,3822.9,3880.0,6658969.0
2026-06-04T00:00:00+05:30,3949.0,4104.9,3926.4,4033.4,4245472.0
2026-06-03T00:00:00+05:30,3935.5,4018.0,3855.0,3966.1,5058668.0
2026-06-02T00:00:00+05:30,4020.0,4045.0,3875.6,3931.9,5568609.0
2026-06-01T00:00:00+05:30,4180.0,4198.0,4031.9,4066.6,3556913.0
2026-05-29T00:00:00+05:30,4250.0,4256.0,4127.9,4146.1,4544243.0
2026-05-27T00:00:00+05:30,4437.0,4446.8,4236.1,4248.4,4332377.0
2026-05-26T00:00:00+05:30,4300.0,4425.0,4295.1,4403.3,3782550.0
2026-05-25T00:00:00+05:30,4250.0,4303.0,4215.0,4291.2,2791628.0
2026-05-22T00:00:00+05:30,4200.0,4232.0,4151.5,4193.8,2489857.0
2026-05-21T00:00:00+05:30,4270.0,4293.8,4153.2,4186.9,3507063.0
2026-05-20T00:00:00+05:30,4170.0,4232.0,4150.0,4218.6,4697677.0
2026-05-19T00:00:00+05:30,4155.4,4298.9,4119.0,4190.8,7088657.0
2026-05-18T00:00:00+05:30,3940.0,4134.0,3940.0,4120.7,5053942.0
2026-05-15T00:00:00+05:30,4065.1,4084.0,3971.1,4000.6,4256007.0
2026-05-14T00:00:00+05:30,3922.3,4065.0,3917.2,4037.6,6138554.0
2026-05-13T00:00:00+05:30,3852.5,3918.0,3847.2,3888.8,3250454.0
2026-05-12T00:00:00+05:30,3918.0,3958.9,3840.3,3851.9,4056561.0
2026-05-11T00:00:00+05:30,3891.0,3945.0,3845.2,3918.0,4662297.0
2026-05-08T00:00:00+05:30,3963.6,3994.0,3832.3,3907.4,9146079.0
2026-05-07T00:00:00+05:30,3887.0,3985.0,3864.9,3963.6,4714160.0
2026-05-06T00:00:00+05:30,3780.0,3872.0,3755.0,3852.1,3772261.0
2026-05-05T00:00:00+05:30,3712.0,3790.0,3691.0,3726.2,3120952.0
2026-05-04T00:00:00+05:30,3681.0,3755.0,3673.0,3711.3,3764178.0
2026-04-30T00:00:00+05:30,3602.7,3663.0,3568.0,3640.5,2381291.0
2026-04-29T00:00:00+05:30,3649.0,3675.5,3620.3,3635.7,2658476.0
2026-04-28T00:00:00+05:30,3552.0,3639.6,3543.6,3626.1,3792795.0
2026-04-27T00:00:00+05:30,3465.0,3546.9,3451.0,3534.6,2386493.0
2026-04-24T00:00:00+05:30,3475.9,3482.0,3412.2,3446.0,2270468.0
