Date,open,high,low,close,volume,Daily_Return,Volatility_30,Close_lag_1,Close_lag_2,Close_lag_3,Close_lag_5,Close_lag_7,SMA_7,EMA_7,SMA_14,EMA_14,SMA_30,EMA_30,SMA_50,EMA_50,SMA_200,EMA_200,RSI_14,MACD,MACD_signal,BB_mid,BB_upper,BB_lower,Daily_Range,Volatility_14,Volume_change,Volume_SMA_14,DayOfWeek,Month,Quarter,Target_NextClose,Target_Direction
2017-11-09 00:00:00+05:30,108.89,109.32,108.04,108.57,391194.0,-0.0023890471377377986,0.005709923728779009,108.83,109.69,109.91,109.38,110.05,109.35142857142857,109.17481104325937,109.21714285714286,109.16926428613571,108.93966666666665,109.40302057621777,109.79439999999998,110.18854782266561,112.82035,113.48395828761568,60.501567398119064,-0.11708184070499783,-0.19868037857130735,108.7835,110.75639287995882,106.81060712004118,1.279999999999987,0.005285397389269872,-0.2326595462971136,453547.28571428574,3,11,4,108.12,0
2017-11-10 00:00:00+05:30,107.94,108.56,107.93,108.12,280521.0,-0.004144791378833834,0.00560965902051591,108.57,108.83,109.69,109.39,109.69,109.12714285714286,108.91110828244453,109.25,109.02936238131763,108.92766666666667,109.32024505517147,109.78599999999999,110.10742830020814,112.76695,113.43058556833591,53.59375000000008,-0.1927915470794943,-0.19750261227294474,108.7595,110.75335872909334,106.76564127090667,0.6299999999999955,0.005365089544440614,-0.28291078084019694,456712.71428571426,4,11,4,108.67,1
2017-11-13 00:00:00+05:30,108.22,109.33,107.56,108.67,313254.0,0.00508694043655189,0.005688970397043293,108.12,108.57,108.83,109.91,109.38,109.02571428571427,108.85083121183341,109.29857142857144,108.98144739714195,108.934,109.27829376128945,109.795,110.05105856294509,112.7385,113.38321655770571,55.135951661631495,-0.20603657005575826,-0.19920940382950747,108.77950000000001,110.76066897974871,106.79833102025131,1.769999999999996,0.005470891153474788,0.11668645128172228,450169.71428571426,0,11,4,108.06,0
2017-11-14 00:00:00+05:30,108.7,109.68,107.78,108.06,318033.0,-0.005613324744639714,0.0054559552167962235,108.67,108.12,108.57,109.69,109.39,108.83571428571429,108.65312340887506,109.26642857142856,108.85858774418969,108.88366666666667,109.1996941637869,109.7898,109.97297783498645,112.71945,113.33024922877331,46.64679582712366,-0.2627266983698604,-0.2119128627375781,108.779,110.7609278227876,106.7970721772124,1.9000000000000057,0.005542116426917406,0.015255990346491943,438697.28571428574,1,11,4,107.47,0
2017-11-15 00:00:00+05:30,108.0,108.0,107.25,107.47,357345.0,-0.005459929668702568,0.005528800764134437,108.06,108.67,108.12,108.83,109.91,108.48714285714287,108.3573425566563,109.09285714285714,108.67344271163107,108.81966666666666,109.0881009919297,109.7826,109.87482184145757,112.68869999999998,113.27193829117357,29.441624365482056,-0.35121353168295855,-0.2397729965266542,108.79100000000001,110.73600060884921,106.84599939115081,0.75,0.004213956570023319,0.12360981407589788,423279.64285714284,2,11,4,107.52,1
2017-11-16 00:00:00+05:30,107.78,108.54,107.38,107.52,304533.0,0.0004652461151948284,0.005526068079947499,107.47,108.06,108.67,108.57,109.69,108.17714285714285,108.14800691749222,108.91642857142857,108.51965035008025,108.75433333333334,108.98693318599875,109.709,109.78247588689062,112.66515,113.21470507434597,28.960817717206055,-0.4125497853421223,-0.27432835428974783,108.80550000000001,110.70530026651076,106.90569973348926,1.1600000000000108,0.004199455020737831,-0.14778995088779756,414754.71428571426,3,11,4,106.92,0
2017-11-17 00:00:00+05:30,108.22,108.33,106.78,106.92,538839.0,-0.005580357142857095,0.005462279589133464,107.52,107.47,108.06,108.12,108.83,107.90428571428572,107.84100518811917,108.73357142857142,108.30636363673622,108.69566666666667,108.8535826578698,109.6358,109.67022193054197,112.64140000000002,113.1520711930092,28.52348993288581,-0.5037670805412802,-0.3202160995400543,108.79,110.74808714391384,106.83191285608618,1.5499999999999972,0.004258872003314307,0.7693944498625764,426796.71428571426,4,11,4,106.85,0
2017-11-20 00:00:00+05:30,107.55,107.55,106.72,106.85,370575.0,-0.0006546950991396239,0.00530128931942214,106.92,107.52,107.47,108.67,108.57,107.65857142857143,107.59325389108938,108.505,108.11218181850474,108.61133333333332,108.72431926058788,109.5002,109.55962499208934,112.6191,113.08936401695938,20.695970695970644,-0.5750767325572497,-0.3711882261434934,108.74950000000001,110.83533669946738,106.66366330053265,0.8299999999999983,0.003792359315048637,-0.31227138347447014,421577.35714285716,0,11,4,105.67,0
2017-11-21 00:00:00+05:30,107.32,107.32,105.44,105.67,666540.0,-0.011043518951801556,0.00514183235599958,106.85,106.92,107.52,108.06,108.12,107.30857142857143,107.11244041831704,108.21785714285714,107.78655757603744,108.44766666666666,108.52726640506609,109.3388,109.40709067867407,112.58965,113.01553949937771,17.993630573248367,-0.7185235911730956,-0.4406552991494138,108.6335,111.11726857130296,106.14973142869704,1.8799999999999955,0.004483158637601745,0.7986642380085003,430241.14285714284,1,11,4,105.47,0
2017-11-22 00:00:00+05:30,105.67,106.67,105.29,105.47,509967.0,-0.0018926847733510277,0.0049166021871895164,105.67,106.85,106.92,107.47,108.67,106.85142857142857,106.70183031373779,107.93857142857144,107.4776832325658,108.31233333333333,108.33002341119087,109.18260000000001,109.2526949657849,112.5716,112.94045950435904,18.314424635332216,-0.8386768440353904,-0.5202596081266092,108.48150000000001,111.3407842313755,105.62221576862453,1.3799999999999955,0.004487341504042845,-0.2349041317850391,438370.0714285714,2,11,4,105.44,0
